id	dataset	model	fixed_curvature	universal
m001	adipose	e2	TRUE	FALSE
m002	adipose	e6	TRUE	FALSE
m003	adipose	e12	TRUE	FALSE
m004	adipose	e24	TRUE	FALSE
m005	adipose	h2	TRUE	FALSE
m006	adipose	h6	TRUE	FALSE
m007	adipose	h12	TRUE	FALSE
m008	adipose	h24	TRUE	FALSE
m009	adipose	s2	TRUE	FALSE
m010	adipose	s6	TRUE	FALSE
m011	adipose	s12	TRUE	FALSE
m012	adipose	s24	TRUE	FALSE
m013	adipose	e2,h2,s2	TRUE	FALSE
m014	adipose	e4,h4,s4	TRUE	FALSE
m015	adipose	e8,h8,s8	TRUE	FALSE
m016	adipose	s12	FALSE	FALSE
m017	adipose	h12	FALSE	FALSE
m018	adipose	e4,h4,s4	FALSE	FALSE
m019	adipose	u4,u4,u4	FALSE	TRUE
m020	rgc	e2	TRUE	FALSE
m021	rgc	e6	TRUE	FALSE
m022	rgc	e12	TRUE	FALSE
m023	rgc	e24	TRUE	FALSE
m024	rgc	h2	TRUE	FALSE
m025	rgc	h6	TRUE	FALSE
m026	rgc	h12	TRUE	FALSE
m027	rgc	h24	TRUE	FALSE
m028	rgc	s2	TRUE	FALSE
m029	rgc	s6	TRUE	FALSE
m030	rgc	s12	TRUE	FALSE
m031	rgc	s24	TRUE	FALSE
m032	rgc	e2,h2,s2	TRUE	FALSE
m033	rgc	e4,h4,s4	TRUE	FALSE
m034	rgc	e8,h8,s8	TRUE	FALSE
m035	rgc	s12	FALSE	FALSE
m036	rgc	h12	FALSE	FALSE
m037	rgc	e4,h4,s4	FALSE	FALSE
m038	rgc	u4,u4,u4	FALSE	TRUE
m039	celegans	e2	TRUE	FALSE
m040	celegans	e6	TRUE	FALSE
m041	celegans	e12	TRUE	FALSE
m042	celegans	e24	TRUE	FALSE
m043	celegans	h2	TRUE	FALSE
m044	celegans	h6	TRUE	FALSE
m045	celegans	h12	TRUE	FALSE
m046	celegans	h24	TRUE	FALSE
m047	celegans	s2	TRUE	FALSE
m048	celegans	s6	TRUE	FALSE
m049	celegans	s12	TRUE	FALSE
m050	celegans	s24	TRUE	FALSE
m051	celegans	e2,h2,s2	TRUE	FALSE
m052	celegans	e4,h4,s4	TRUE	FALSE
m053	celegans	e8,h8,s8	TRUE	FALSE
m054	celegans	s12	FALSE	FALSE
m055	celegans	h12	FALSE	FALSE
m056	celegans	e4,h4,s4	FALSE	FALSE
m057	celegans	u4,u4,u4	FALSE	TRUE
m058	uc_epi	e2	TRUE	FALSE
m059	uc_epi	e6	TRUE	FALSE
m060	uc_epi	e12	TRUE	FALSE
m061	uc_epi	e24	TRUE	FALSE
m062	uc_epi	h2	TRUE	FALSE
m063	uc_epi	h6	TRUE	FALSE
m064	uc_epi	h12	TRUE	FALSE
m065	uc_epi	h24	TRUE	FALSE
m066	uc_epi	s2	TRUE	FALSE
m067	uc_epi	s6	TRUE	FALSE
m068	uc_epi	s12	TRUE	FALSE
m069	uc_epi	s24	TRUE	FALSE
m070	uc_epi	e2,h2,s2	TRUE	FALSE
m071	uc_epi	e4,h4,s4	TRUE	FALSE
m072	uc_epi	e8,h8,s8	TRUE	FALSE
m073	uc_epi	s12	FALSE	FALSE
m074	uc_epi	h12	FALSE	FALSE
m075	uc_epi	e4,h4,s4	FALSE	FALSE
m076	uc_epi	u4,u4,u4	FALSE	TRUE
